"ordinal","song_id","title","primary","credit","role","version","inventory_year","status","source_title","isrcs","appearances","earliest_verified_appearance","source_url","review_reasons"
"1","ae4d3613-e31a-4fce-ae33-a0610c3cace4","Digital Girl (Remix)","Jamie Foxx","Jamie Foxx feat. Drake, Kanye West & The-Dream","Feature","Alternate / Remix","2009","approved","Digital Girl (remix)","","1","2009-07-17","https://musicbrainz.org/recording/eb72b86a-5d10-4af8-83f8-baacad0a0627","supplied_artist_credit_differs_from_source_credit"
"2","a8f1d862-cc47-410d-9cd4-1ed36426ee27","Invented Sex","Trey Songz","Trey Songz feat. Drake","Feature","Original","2009","approved","I Invented Sex","USAT20902612;USAT22211807","7","2009-08-31","https://musicbrainz.org/recording/c2859d6d-5bd4-4681-9213-e65df08f00ba","supplied_title_differs_from_source_title;additional_recording_identities_require_review"
"3","62f6bd19-902d-4a36-87f1-a908ff408d91","Money to Blow","Birdman","Birdman feat. Drake & Lil Wayne","Feature","Original","2009","approved","Money to Blow","FR0Z50036285;USCM50900380","5","2009-02-27","https://musicbrainz.org/recording/64f98716-85db-45fd-b6a7-fca62a4a24ee","additional_recording_identities_require_review"
"4","ddf52b50-8c9e-49d5-aaaf-ebe8fc4fcf2e","Fed Up","DJ Khaled","DJ Khaled feat. Usher, Young Jeezy, Rick Ross, Drake & Lil Wayne","Feature","Original","2009","approved","Fed Up","USKO10902274;USKO10902275;USKO11000225","4","2010-03-02","https://musicbrainz.org/recording/f5f82e06-4861-46cb-9c11-a07a5a01cc3c","supplied_artist_credit_differs_from_source_credit;additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"5","280e0fb6-5c01-4301-ab7e-2ee59fdfd87f","4 My Town (Play Ball)","Birdman","Birdman feat. Drake & Lil Wayne","Feature","Original","2009","approved","4 My Town (Play Ball)","USCM50901149","3","2009-11-23","https://musicbrainz.org/recording/ab08a1cf-f2c1-4cb1-a69b-5001b895b044",""
"6","47f2d563-2240-4009-bf57-dcf510084aee","You Got Me","Lil Wayne","Lil Wayne feat. Drake","Feature","Original","2010","needs_review","","","0","","","no_verified_metadata_match_in_cached_sources"
"7","a9b4c453-89b4-43d9-a097-a4980b159d4e","Say Something","Timbaland","Timbaland feat. Drake","Feature","Original","2010","needs_review","Say Something","USUM70904795","9","2009-01-01","https://musicbrainz.org/recording/9dc51669-f015-484c-a164-3b61f822f5fd","feature_list_conflicts_with_joint_primary_source_billing;additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"8","69aa318d-3a70-438d-992a-31d753bd3436","Right Above It","Lil Wayne","Lil Wayne feat. Drake","Feature","Original","2010","approved","Right Above It","USCM51000537","9","2010-08-23","https://musicbrainz.org/recording/e48c820a-3002-4a45-99b4-e5909865a17e",""
"9","c5380a4e-faa3-40f2-891f-c7ec0b33e493","Aston Martin Music","Rick Ross","Rick Ross feat. Drake & Chrisette Michele","Feature","Original","2010","approved","Aston Martin Music (edit)","USUM71017799","1","2011-01-01","https://musicbrainz.org/recording/568c7362-5ea8-4a8e-a2fe-23c18da2407b","supplied_title_differs_from_source_title;additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"10","c7c39438-d3e7-49e9-baca-9a0dae0cfd33","Loving You No More","Diddy – Dirty Money","Diddy – Dirty Money feat. Drake","Feature","Original","2010","needs_review","Loving You No More","USUM71007656","8","2010-01-01","https://musicbrainz.org/recording/3f3ab44b-8c96-4a33-967b-ca5b9a6124d7","feature_list_conflicts_with_joint_primary_source_billing"
