DRAKE — MASTER LEAD / JOINT-PRIMARY CATALOG
Released material through September 2026
Purpose: source-of-truth candidate list for Which Drake?
Features where another artist is primary will be supplied separately.

ROOM FOR IMPROVEMENT (2006)
"Intro" | Credit: Drake | Role: Lead | Original
"Pistol Proof" | Credit: Drake | Role: Lead | Original
"Bad Meaning Good" (feat. Slakah the Beatchld) | Credit: Drake feat. Slakah the Beatchld | Role: Lead | Original
"Room for Improvement" | Credit: Drake | Role: Lead | Original
"Extra Special" | Credit: Drake | Role: Lead | Original
"About Improvement" | Credit: Drake | Role: Lead | Original
"Do What U Do" | Credit: Drake | Role: Lead | Original
"City Is Mine" | Credit: Drake | Role: Lead | Original
"AM 2 PM" (feat. Nickelus F) | Credit: Drake feat. Nickelus F | Role: Lead | Original
"Video Girl" | Credit: Drake | Role: Lead | Original
"Come Winter" | Credit: Drake | Role: Lead | Original
"Extra Special" (Remix) | Credit: Drake | Role: Lead | Alternate / Remix
"A Scorpio's Mind" (feat. Nickelus F) | Credit: Drake feat. Nickelus F | Role: Lead | Original
"S.C.A.R." (feat. Nickelus F) | Credit: Drake feat. Nickelus F | Role: Lead | Original
"All This Love" (feat. Voyce) | Credit: Drake feat. Voyce | Role: Lead | Original
"Outro" | Credit: Drake | Role: Lead | Original

COMEBACK SEASON (2007)
"Intro" | Credit: Drake | Role: Lead | Original
"The Presentation" | Credit: Drake | Role: Lead | Original
"Comeback Season" | Credit: Drake | Role: Lead | Original
"Closer" (feat. Andreena Mill) | Credit: Drake feat. Andreena Mill | Role: Lead | Original
"Replacement Girl" (feat. Trey Songz) | Credit: Drake feat. Trey Songz | Role: Lead | Original
"Barry Bonds" (Freestyle) | Credit: Drake | Role: Lead | Original
"Going in for Life" | Credit: Drake | Role: Lead | Original
"Where to Aim" | Credit: Drake | Role: Lead | Original
"Share" | Credit: Drake | Role: Lead | Original
"Give Ya" (feat. Trey Songz) | Credit: Drake feat. Trey Songz | Role: Lead | Original
"Don't U Have a Man" (feat. Dwele) | Credit: Drake feat. Dwele | Role: Lead | Original
"Bitch Is Crazy" | Credit: Drake | Role: Lead | Original
"The Question" | Credit: Drake | Role: Lead | Original
"Fading" (feat. Nickelus F) | Credit: Drake feat. Nickelus F | Role: Lead | Original
"Must Hate Skits" | Credit: Drake | Role: Lead | Original
"Asthma Team" | Credit: Drake | Role: Lead | Original
"Do What U Do" (Remix) | Credit: Drake feat. Malice | Role: Lead | Alternate / Remix
"Easy to Please" (feat. Richie Sena) | Credit: Drake feat. Richie Sena | Role: Lead | Original
"Underdog" (feat. Trey Songz) | Credit: Drake feat. Trey Songz | Role: Lead | Original
"Think Good Thoughts" (feat. Phonte & Elzhi) | Credit: Drake feat. Phonte & Elzhi | Role: Lead | Original
"Teach U a Lesson" | Credit: Drake | Role: Lead | Original
